Column1,Kichwa,Spanish,Sentimineto
757,khallu,lengua,neutro
758,khari,masculino,neutro
759,khiwa,hierva,neutro
760,khura,maiz germinado,positivo
761,khuyana,amar,positivo
762,khuzu,larva de escarabajo,neutro
763,kichankuy,colera,negativo
764,kichkikuchu,angulo agudo,neutro
765,kichkikuchu kimsamanyachi,triangulo acutangulo,neutro
766,kichkikuchu kimsamanyaychi,triangulo acutangulo,neutro
767,kichuy,arrebatar,negativo
768,kichwa llika,alfabeto kichwa,positivo
769,kikin,usted,positivo
770,kikin shuti,nombre propio,positivo
771,kikinkuyari,autoestima,positivo
772,kikinllatak,consigo mismo,positivo
773,kikinmanta,atentamente,positivo
774,kikinmutsuri,autoconsumo,negativo
775,kikinrimay,idiolecto,neutro
776,kikinruray,costumbres,positivo
777,kikinyari,identidad,positivo
778,kikinyarina,identificar - apropiar,negativo
779,kiliki,quilico,neutro
780,kilkawana,redactar,neutro
781,killa,luna,neutro
782,killa,mes,neutro
783,killanturi,eclipse lunar,neutro
784,killanturiy,eclipse lunar,neutro
785,killapa nikirakiri,fases de la luna,neutro
786,killimsa rumi,carbon de piedra,positivo
787,killka kamachik,regla ortografica,positivo
788,killka katina,leer,positivo
789,killkakatiyuk,escritor,positivo
790,killkana,escribir,positivo
791,killkanancha,termino algebraico,neutro
792,killkananchakamay,algebra,neutro
793,killkananchapurachina,reduccion de terminos semejantes,neutro
794,killkananchaychi,expresion algebraica,neutro
795,killkapa unancha,signo de puntuacion.,neutro
796,killkapa unancha (w),signo de puntuacion.,neutro
797,killkawana,redactar.,positivo
798,killkaya,carta,positivo
799,killkayachay,tema - teore­a,neutro
800,killkayrimay,obra literaria,positivo
801,killpa,capa,neutro
802,killpak kushma,sweater  saco,neutro
803,killu,amarillo,neutro
804,killu sara,maiz amarillo,positivo
805,kimi killka,coeficiente o parte literal,neutro
806,kimi yupay,coeficiente numerico,neutro
807,kimina,acercar,positivo
808,kiminancha,coeficiente,positivo
809,kimirik,contigüos.,neutro
810,kimirik kuchukuna,angulos contiguos o adiacentes,neutro
811,kimirishka yuyay,oracion subordinada,neutro
812,kimiriy,acercarse,neutro
813,kimpu / kashtuna,mandibula  quijada,neutro
814,kimraymaya,hipotenusa,neutro
815,kimsa,tres  3,neutro
816,kimsa chunka,treinta  30,neutro
817,kimsa kilkanancha kutinchiy,factorizacion de trinomios,neutro
818,kimsa patsak,trecientos  300,neutro
819,kimsachishka kullka,prisma triangular,neutro
820,kimsachishkapa tawa,trinomio cuadrado perfecto,neutro
821,kimsakamachik,regla de tres,neutro
822,kimsakamachimuk,regla de tres inversa,neutro
823,kimsakamachiyak,regla de tres simple,neutro
824,kimsakilkanancha kutinchiy,factorizacion de trinomios,neutro
825,kimsamanyachi,triagulo,neutro
826,kimsamanyachikamay,trigonometria,neutro
827,kimsamanyapurachi,relaciones trigonomericas,neutro
828,kimsaniki kallariy yachay,tercer nivel de ed. basica.,positivo
829,kimsaniki kallariyachay,tercer nivel,positivo
830,kimsapaktamanyachi,triangulo equilatero,neutro
831,kincha,corral,neutro
832,kinchak,corchetes.,neutro
833,kinku,curva,neutro
834,kinkuk,parantesis.,neutro
835,kinraymanya,hipotenusa,neutro
836,kinrayshuyu,funcion,neutro
837,kinti,picaflor,positivo
838,kinuwa,quinoa,positivo
839,kipapakchiruray,proyecto,positivo
840,kipapakchiruray yachay,proyecto de aula,positivo
841,kipilli,paquete,neutro
842,kiri,llaga,neutro
843,kirkinchu / kachikampu,armadillo,neutro
844,kiru,arbol,neutro
845,kishparik,independencia,positivo
846,kishpichina,perdonar,positivo
847,kishpiripacha,liberalismo,positivo
848,kishuar,quishuar,neutro
849,kita,brioso,neutro
850,kiti,canton,neutro
851,kiti apuk,jefe politico,neutro
852,kiti kamaklli,concejal,neutro
853,kiti kapachik apuk,comisario nacional,neutro
854,kitikapak,capital provincial,neutro
855,kitilli,parroquia,neutro
856,kitilli apuk,teniente poli­tico,neutro
857,kucha,lago,neutro
858,kuchaku,laguna,neutro
859,kuchawpi,bicectriz,neutro
860,kuchi,cerdo,neutro
861,kuchulla,cerca,neutro
862,kuchupatay,grado angular,neutro
863,kuku  pukchi,libra,neutro
864,kukulli,paloma,neutro
865,kulla,enero,neutro
866,kulla killa,enero,neutro
867,kullasuyu,region sur,positivo
868,kullka,prisma,neutro
869,kullka puncha,jueves,neutro
870,kullkikamak wankuri,asociacion bancaria,neutro
871,kullkikamak wankuriy,asociacion bancaria,neutro
872,kullkikamak wasi,banco  mutua  copo  corporacion  financiera,neutro
873,kullkikamay,economia,positivo
874,kullkikamay kamu,libro contable,positivo
875,kullkikamay shinayachi,conmutabilidad bancaria,positivo
876,kullkikamaychik,sistema contable,positivo
877,kullkikikinchik,poliza,positivo
878,kullkilli,billetes de denominacion baja  pequeños,negativo
879,kullkimantawankuri,organizacion economica,positivo
880,kullkimashnayachik,presupuesto,positivo
881,kullkiminkay kamu,libro banco,positivo
882,kullkipatsakri,impuesto,negativo
883,kullkirayku hatun tantanakuy,grandes bloques economico,positivo
884,kullkirayku llankay,actividad economica,positivo
885,kullkiyuk,capitalista,neutro
886,kullku,tronco,neutro
887,kulta,pato,neutro
888,kumuriy,inclinarse,neutro
889,kuna,dar,positivo
890,kunakuy,ofrecer,positivo
891,kunakyuyayku,refran,positivo
892,kunan,presente,positivo
893,kunan pacha,tiempo presente,positivo
894,kunan yallishka,participio,neutro
895,kunana,consejo,positivo
896,kunanyallishka,participio.,neutro
897,kunka,garganta  cuello,neutro
898,kunka tullu,nuca,neutro
899,kunkaklla,olvidadiso,negativo
900,kunkallina,bufanda,neutro
901,kunkariy,olvidarse,negativo
902,kunkashka,olvidado,negativo
903,kunkay,olvidar,negativo
904,kunkaycha,negligencia  descuido,negativo
905,kunkaychashka,descuidado  negligente,negativo
906,kunkaychay,descuidar,negativo
907,kunkaychiy,omision  omitir,negativo
908,kunkaylla,tranquilo  en reposo,positivo
909,kunkuri,rodilla,neutro
910,kunkuriy,arrodillarse,neutro
911,kuntisuyu,occidente,neutro
912,kuntur,condor,positivo
913,kunuk,caliente,positivo
914,kunuk allpa,costa,neutro
915,kunuk yaku,agua termal,positivo
916,kunukuy  killuchakay,carbohidrato,neutro
917,kupa,rastrojo,negativo
918,kupa  ñuku,basura,negativo
919,kurikinka,curiquingue,neutro
920,kurpa,masa (amasado),neutro
921,kurpa (chanpa),terron,positivo
922,kurpa  putuk,enano,positivo
923,kurpañutuchi,desterronamiento,negativo
924,kuru,gusano,positivo
925,kurun anta,motocicleta  moto,positivo
926,kururuna,ovillar,neutro
927,kuruta,testiculo,neutro
928,kusa,esposo  marido,positivo
929,kusana,asar,nuestro
930,kushi,alegre,positivo
931,kushikuy,emocion,positivo
932,kushillu,mono,neutro
933,kushipatak,sacerdote,neutro
934,kushiyay,alegria,positivo
935,kushkapaktay,puntualidad,positivo
936,kushma,camisa,neutro
937,kushpana,saltar,neutro
938,kushpana  pawana,saltar,neutro
939,kuska,parte  sitio  lugar  direccion,neutro
940,kuska imallichik,adverbio del lugar,neutro
941,kuskallpayku,subterraneo,neutro
942,kuskayupay chani,valor relativo,negativo
943,kuski,septiembre  frondoso  abundancia,neutro
944,kuski killa,septiembre,neutro
945,kuskina  hamutayana,analizar,positivo
946,kuskunku,buho,neutro
947,kutachik,molinero,neutro
948,kutana,molino,neutro
949,kuticharina,rescatar,positivo
950,kutichina,responder,positivo
951,kutichiy,responder,positivo
952,kutin,vez (veces),neutro
953,kutinchi,multiplo.,positivo
954,kutinchichiy,factorizacion,positivo
955,kutinchik millka,tabla de frecuencias,positivo
956,kutinchiklla,frecuencia absoluta,positivo
957,kutinchina,repetir.,positivo
958,kutinchina(w),repetir,positivo
959,kutinchishka yupaykuna,numeros multiplos,positivo
960,kutinchiy,multiplicacion,positivo
961,kutinkutinchik,exponente,positivo
962,kutinkutinchiy,potenciacion,positivo
963,kutinkutinmuchiy,radicacion,positivo
964,kutinkutirik,base (de potencia,neutro
965,kutinriksina,reconocer,positivo
966,kutirichiy,convertirse,neutro
967,kutirik,factor comun,neutro
968,kutirik taripay,busqueda del factor comun,neutro
969,kutsana,rasgar.,negativo
970,kutsi,ligero,neutro
971,kutsiy,agilidad,positivo
972,kuwartilla - ukapa,cuartilla ( +/- 60 lb.,neutro
973,kuy,cuy / conejillo de indias,neutro
974,kuya,reina  emperatriz  soberana del incario. seÃ±ora  dama,positivo
975,kuyak,acariciador,neutro
976,kuyana ,amar,positivo
977,kuyashka,amante,negativo
978,kuyaylla,hermosa  linda,positivo
979,kuyka,lombri­z,neutro
980,kuykakamay,lombricultura,positivo
981,kuyllur,asterisco.,neutro
982,kuytsa,joven  adolescente (mujer,neutro
983,kuyurihillanta,maquina,neutro
984,kuyuy,mover,neutro
985,lachuri,hijastro,neutro
986,shayak allpa,ladera,neutro
987,lamama,madrastra,negativo
988,tizan,lancha,neutro
989,lapani,hermanastra,neutro
990,laushi,hijastra,neutro
991,lawawki,hermanastro,neutro
992,layaya / latayta,padrastro,neutro
993,llachak,vegetal,positivo
994,llachakamay,flora,positivo
995,llachapashka,remendado,neutro
996,llachapay,remendar,neutro
997,llachapayuk,remendon,neutro
998,llaki,triste,negativo
999,llaki,tristeza,negativo
1000,llakichik,perjuicios,negativo
1001,llakichik wallpariykuna,formas de explotacion,negativo
1002,llakichipacha,la colonia,positivo
1003,llakichiy,explotacion,neutro
1004,llakilla,triste,negativo
1005,llakitukuy,desastre,negativo
1006,llakta,pueblo,positivo
1007,llakta ushay,democracia,positivo
1008,llaktakay,pueblos,neutro
1009,llaktamanta llukshiri,migracion,negativo
1010,llaktapak ushay,democracia,positivo
1011,llaktari allpa,territorio,positivo
1012,llaktarimay,dialecto,positivo
1013,llaktay,pueblo.,neutro
1014,llaktayku,poblacion,neutro
1015,llaktushay,democracia,neutro
1016,llakushi,sentimiento,neutro
1017,llama,llama  oveja,neutro
1018,llamkaypaktachi,funcion rol,neutro
1019,llamkaywillay,informe,negativo
1020,llamkayñan,planificacion,positivo
1021,llampu,liso,neutro
1022,llankahillay,equipos,negativo
1023,llankamana,inutil,negativo
1024,llankanauku,oficina,neutro
1025,llankanaukuk,oficinista,neutro
1026,llankayñan,planificacion,positivo
1027,llano  campo,pampa,neutro
1028,llantu,sombra,neutro
1029,llanturiy,eclipse,neutro
1030,llapiriy,presion,negativo
1031,llashachik,balanza,neutro
1032,llashak,masa y peso,neutro
1033,llashak tupu,medida de masa,neutro
1034,llatanay,descubrirse  sacarse la ropa,neutro
1035,llawsayachik,endocrino,neutro
1036,llawsayari,viscosidad,negativo
1037,llawtu,corona  diadema,neutro
1038,llichayuk,dichoso,positivo
1039,llika,sistema,neutro
1040,llika yachay wasikuna,redes educativas,neutro
1041,llika  wallpa,estructura,neutro
1042,lliwitupu,radianes,neutro
1043,lluki,izquierdo,neutro
1044,lluki maki,mano izquierda,neutro
1045,llullana,mentir,negativo
1046,llullu,tierno,positivo
1047,llumpak,limpio,positivo
1048,llumpakay,virginidad,positivo
1049,llumpakshunku,castidad,positivo
1050,llushpichiy,despegar,positivo
1051,llutachina,pegar,negativo
1052,llutariy,magnetismo,positivo
1053,loma,tula,neutro
1054,lulun,huevo,positivo
1055,lumu,yuca,positivo
1056,lutsay,proporcion  proporcionalidad,positivo
1057,lutsaychishpa raki,reparto proporcional,positivo
1058,lutsaykumuk,proporcion armonica o inversa,neutro
1059,lutsaykutinchik,frecuencia relativa,positivo
1060,lutsaykuyak,proporcionalidad inversa,positivo
1061,lutsaysapayak,proporcionalidad directa,positivo
1062,machana,emborrachar,negativo
1063,machu,tuerto,negativo
1064,makana,pegar,negativo
1065,makanakuy,guerra,negativo
1066,makanakuy runakuna,guerreros,negativo
1067,makay,golpe  pegar  agravio,negativo
1068,maki,mano,neutro
1069,maki hawa,palma de la mano,neutro
1070,maki ruka,uña del dedo de la mano,neutro
1071,maki washa,dorso de la mano,neutro
1072,maki-watana,manilla  pulsera,neutro
1073,makillina,guante,neutro
1074,makimañachi,colaboracion mutua,positivo
1075,makimañachiy,prestacion de mano para el trabajo,positivo
1076,makimañashpa,una mano de ayuda,positivo
1077,makimañay,pedir la mano para casarse,positivo
1078,makipakchiruray,artesania,positivo
1079,makirumpay,voleibol,positivo
1080,makirurashka,manualidad,positivo
1081,makiruray,artesania,positivo
1082,makiruraykamay,artesania,positivo
1083,makiyasiy,voleibol,positivo
1084,maklluy,peligro,negativo
1085,maklluy (gt),peligro,negativo
1086,mallina,probar  saborear,positivo
1087,mama,madre  mama,neutro
1088,mama chanka,muslo,neutro
1089,mama chumpi,faja-madre,neutro
1090,mama kullki kamachi,regla de interes,neutro
1091,mamakamachik,constitucion,neutro
1092,mamakucha,oceano,neutro
1093,mamakullki,capital,neutro
1094,mamallakta,pais,neutro
1095,mamallakta kallaripa tantanakuy,asamblea constituyente,neutro
1096,mamallakta kawsay kallari,vida republicana,neutro
1097,mamallakta michari,defensa nacional.,neutro
1098,mamallakta pura kapak kamay,politica exterior,neutro
1099,mamallaktachiy,estado,neutro
1100,mamallaktapa apukwasi,palacio de gobierno,neutro
1101,mamallaktapa haylli,himno nacional,neutro
1102,mamallaktapa kapak,nacionalista,neutro
1103,mamallaktapak tantanakuy,estado,neutro
1104,mamallaktapura kullkikulka,fondo monetario internacional (fmi,negativo
1105,mamayakunta mintalay,comercio maritimo,positivo
1106,mana alli,mal  malo,negativo
1107,mana rikshka antakuna,los ovnis,neutro
1108,mana riksishka,extraño,neutro
1109,mana tukurik,infinito,neutro
1110,manahaykapash,nunca jamas,negativo
1111,manapakiyak yupay,numero irracional,neutro
1112,manapipash,nadie  ninguno,negativo
1113,manarak turuwan makiruray pacha,periodo preceramico,neutro
1114,manashuwak,honrado,positivo
1115,manañakcharishka,despinado,neutro
1116,manchay,temer,negativo
1117,manllariy,asustarse,negativo
1118,manllay,temer  tener miedo,nuetro
1119,manuchaskiy,cobrar,neutro
1120,manya,borde  lado,neutro
1121,manyaku,cateto,neutro
1122,manyakupurachi,tangente,neutro
1123,manyakupuramuchi,cotangente,neutro
1124,manyakupuramunchi,cotangente,neutro
1125,manyapikakkuna,extremos,neutro
1126,manyatupu,perametro,neutro
1127,manña,borde  orilla,negativo
1128,mapayashka,obseno,negativo
1129,mapayay,pornografi­a,negativo
1130,marka kamachik,prefecto,positivo
1131,markakamachiklli,consejero provincial,neutro
1132,markapuk,gobernador,positivo
1133,masha,yerno  cuñado,positivo
1134,mashi,amigo,positivo
1135,mashipurari,relacion mutuo,neutro
1136,mashkaychani,incognita,neutro
1137,mashnayachi,conocimiento de cantidad o calculo,neutro
1138,mashnayachina,calcular,positivo
1139,mashnaykuna,cantidad,positivo
1140,mashu  chimpilaku,murcielago,neutro
1141,mashuwa,mashua,neutro
1142,maskana,buscar,neutro
1143,maskaypacha,corona,positivo
1144,masma yachak,ingeniero,positivo
1145,masmana,construir,neutro
1146,masmay,armar,neutro
1147,mawkana,usar,neutro
1148,may kutinchikuna,productos notables,neutro
1149,may mutsuri,importantes,positivo
1150,may rakikuna,cocientes notables,neutro
1151,mayalli,indispensable,negativo
1152,maychani  raymana,importancia,positivo
1153,mayhatun,macro,neutro
1154,maykanpash,cualquiera,neutro
1155,maykutinchikuna,productos notables,neutro
1156,maymachariy,alcoholismo,negativo
1157,maymutsurik,importante,positivo
1158,maymutsuriy  maychaniy,importancia,positivo
1159,maypakchiruray,arte,neutro
1160,mayrakikuna,cocientes notables,neutro
1161,mayu,rio,neutro
1162,mayuchilla,micro,neutro
1163,maywa,morado  violeta,neutro
1164,maywana,enamorar,positivo
1165,maywana  munayana,enamorar,positivo
1166,mañana,pedir,neutro
1167,mañay,solicitud,neutro
1168,mi si,gato,neutro
1169,michachikanyay,descomposicion de la energi­a,neutro
1170,michina,pastar,neutro
1171,mika  mati,plato de madera,neutro
1172,miklla,treinta libras,positivo
1173,mikuna,comer,neutro
1174,mikuy  mikuna,alimento,neutro
1175,milchina,manipular,negativo
1176,milchina  llanwana,palpar,neutro
1177,milchinay,experimentar,neutro
1178,milka,parrafo  cuadro,neutro
1179,milkachishka,killka cuadro sinoptico.,neutro
1180,milkachishka killka(w),cuadro sinoptico,neutro
1181,milkakinrayshuyu,histograma,neutro
1182,millanayay,feo,negativo
1183,millaymakay,NaN,NaN
1184,millkashuyu,grafico de barras,positivo
1185,milluku,melloco,positivo
1186,minchakama,despedida (proxima ocasion,neutro
1187,minchayana,despedirse.,negativo
1188,minchayana (w),despedirse,negativo
1189,minkana,encargar,positivo
1190,minkarik,huesped,neutro
1191,mintala,comerciante,neutro
1192,mintalana,comercializar,neutro
1193,mintalanayay,comercializacion,neutro
1194,mintalay,comercio,neutro
1195,mintu,piramide,positivo
1196,mirachina,aumentar,neutro
1197,mirachina (w),reproducir,neutro
1198,mirana,aumentar  producir ,neutro
1199,mirka,pato  mancha de la cara,neutro
1200,mishanakuy,competencia,positivo
1201,mishay,ganr  competir,positivo
1202,mishki,dulce,positivo
1203,mishu,mestizo,negativo
1204,mishuma uchu,aji menos picante,neutro
1205,mitsa,verruga,neutro
1206,mitsak,mezquino,neutro
1207,mitsana,mezquinar,neutro
1208,miyuchina  mapayachina,contaminar,neutro
1209,miyuwayra,anhodrido carbonico,neutro
1210,miyuy,contaminacion,negativo
1211,miyuy wanu,fertilizante quimico,negativo
1212,miyuychi,contaminacion,negativo
1213,urku,montaña  cerro,neutro
1214,sacha,monte  bosque  selva,neutro
1215,muchana,besar,positivo
1216,muchiku,sombrero,neutro
1217,muksi,oxido,neutro
1218,muku,nudo,neutro
1219,muku,articulacion,neutro
1220,munana,querer,positivo
1221,munanayay,deseo carnal,negativo
1222,munapayay,desear con locura,negativo
1223,munarishka,aficionado,neutro
1224,munay,deseo,positivo
1225,munay killka,escritura de expresion libre,neutro
1226,munay yachay,auto estudio.,neutro
1227,munaymanta ruray,hobby  pasa tiempo,neutro
1228,muntira,gorra,neutro
1229,murtiñu,mortiños,neutro
1230,muru unkuy,sarampion,negativo
1231,muru  añawi,fruto,neutro
1232,muruchu,morocho,neutro
1233,murukuna,productos agricolas  granos,neutro
1234,mushuk,nuevo,neutro
1235,mushukpacha,neolitico,neutro
1236,mushukyachinalla,renovable,positivo
1237,muskuna,soñar,positivo
1238,musparina,desvariar,negativo
1239,musyana,preveer,positivo
1240,muyuyrimay,mesa redonda.,neutro
1241,muyuyshuyu,grafico de pasteles,neutro
1242,muyuytupu,longitud de la circunferencia,neutro
1243,nanay,dolor,negativo
1244,nankay,equilibrio,positivo
1245,napaykuna,saludos,neutro
1246,niki,orden,neutro
1247,nikichik,ordenador  computadora  pc,neutro
1248,nikichina,ordenar  organizar,neutro
1249,nikirakiri,fase,neutro
1250,nikiyupay,numeros ordinales,neutro
1251,nikiyupaykuna,numeros ordinales,neutro
1252,nikyachay,teorema,neutro
1253,nimaykan,ninguna,negativo
1254,nina,fuego(llama  candela,neutro
1255,nina kuru,luciernaga,neutro
1256,ninayay  rupariy,combustion,negativo
1257,nipa,elemento,neutro
1258,nipakutichi,interseccion.,neutro
1259,nipapurachi,correspondencia  relacion,neutro
1260,nipayay,componente,neutro
1261,nishani,autodeterminacion,positivo
1262,nuna,espiritu  alma,positivo
1263,pacha,tiempo y espacio,neutro
1264,pacha imallichik,adverbio de tiempo,neutro
1265,pacha shuktayay,fenomeno natural,positivo
1266,pacha tupuk,reloj,neutro
1267,pachachik,reloj,neutro
1268,pachachik- sayllachik,reloj,neutro
1269,pachakutik pacha,renacimiento,positivo
1270,pachamama,mundo,positivo
1271,pachamamapi tiyak,recurso natural,neutro
1272,pachamamapi tiyakkuna,recursos naturales,neutro
1273,pachanyachiy,fomento,positivo
1274,pachapi tiyak chimpaykuna,teorema de la relatividad.,neutro
1275,pacharikuy,cosmovision.,neutro
1276,pacharikuy(w),cosmovision.,neutro
1277,pachatupu,medida de tiempo,neutro
1278,pachaykamay,fisica,neutro
1279,pakana,esconder,neutro
1280,pakarikuy,velar,neutro
1281,pakarina,amanecer,positivo
1282,pakashka,escondido,neutro
1283,pakay,huabo,neutro
1284,pakcha,cascada,neutro
1285,pakchi,tecnica,neutro
1286,pakchiruray,tecnologia,neutro
1287,pakchirurayachay,taller,neutro
1288,pakiriklla,fragil,positivo
1289,pakiy,romper en pedazos  destrozar,negativo
1290,pakiyupay,numero racional,neutro
1291,pakpayu,aves,neutro
1292,paktachani,ecuacion o igualdad de valores,neutro
1293,paktachay,justicia,negativo
1294,paktachichin,responsabilizar.,positivo
1295,paktachichina,responsabilizar,positivo
1296,paktachik,responsable,positivo
1297,paktachik kuchu,angulo complementario,neutro
1298,paktachik tantachishka,conjunto complementario,neutro
1299,paktachikkuna,propiedades o relaciones,positivo
1300,paktachikuna,propiedades,positivo
1301,paktachiriy,asumir responsabilidad,positivo
1302,paktachiy,responsabilidad,positivo
1303,paktak,suficiente,negativo
1304,paktakamu,libro mayor,neutro
1305,paktakuchu,angulo recto,neutro
1306,paktakuchu kimsamanyachi,triangulo rectangulo,neutro
1307,paktakuyuy  waskariklla,ritmo,neutro
1308,paktalla kawsay,equidad de genero,negativo
1309,paktama,jeme,neutro
1310,paktamanya,cateto menor,neutro
1311,paktanancha,resultado,neutro
1312,paktapuchu,diferencia simetrica,neutro
1313,paktara,cuidado,positivo
1314,paktaraki,divisibilidad.,neutro
1315,paktarakikyuk pakiyupaykuna,fracciones homogeneas,neutro
1316,paktarakikyupay,maximo comun divisor,neutro
1317,paktarakirikyupay,mi­nimo comun multiplo,neutro
1318,paktay,objetivo,neutro
1319,paktayachay,curriculo,positivo
1320,paktayashka,equivalente,neutro
1321,paktayuyay,definicion,neutro
1322,paku,cafe,neutro
1323,pal anta,platano,neutro
1324,palama  itha  añallu,insecto,neutro
1325,palamamiyu,insecticida,neutro
1326,pallana,cosechar,positivo
1327,pallay,cosechar,positivo
1328,palta,aguacate,neutro
1329,paltarikkuska,barra,neutro
1330,pamaway,cosmos,neutro
1331,pamaway nipa,elemento cosmico,neutro
1332,pamawayak,cosmico,neutro
1333,pamawyri,cosmico,neutro
1334,pampa,planicie,neutro
1335,pampa shuyukuna,figuras planas,neutro
1336,pampallpa,llanura,neutro
1337,pampawarmi,prostituta,negativo
1338,panchi,febrero,neutro
1339,panchi killa,febrero,neutro
1340,pani,hermana (hermano a hermana,positivo
1341,pankakullki,billetes,neutro
1342,pankalli,documento de identificacion  documento pequeño,neutro
1343,panta,confuso,neutro
1344,wampu allpa,pantano  cienega,neutro
1345,pantay,confusion,negativo
1346,papa,patata,neutro
1347,papaya,papaya,neutro
1348,parana,demorar  durar (en imbabura),negativo
1349,parkuna,regar,neutro
1350,paruk,pulmon,neutro
1351,pascal kutinkutinchi,esquema de paskal,neutro
1352,paskakuchu,angulo obtuso,neutro
1353,paskakuchu kimsamanyaychi,triangulo obtusangulo,neutro
1354,paskama,cuarta,neutro
1355,paskama-ukapa,cuarta de mano,neutro
1356,paskana,abrir,neutro
1357,paskarikra,braza (longitud),neutro
1358,paskay,abrir,neutro
1359,pasña,adolescente (mujer,positivo
1360,pata millma,vello puvico,negativo
1361,pata tullu,hueso puvico,neutro
1362,patarina,doblar.,neutro
1363,patay,grado sexagecimal,neutro
1364,patayak,tramo,neutro
1365,patayay,tramo,neutro
1366,patayayku,intervalo  recorrido  rango,neutro
1367,patayku,minutos angulares,neutro
1368,pataykulla,segundos angulares,neutro
1369,patpa,pluma,neutro
1370,patpay,emplumar,neutro
1371,patsak,cien  100,neutro
1372,patsak piti,tanto por ciento,neutro
1373,patsakri,porcentaje,neutro
1374,patsakri shutichi,notacion porcentual,neutro
1375,patsakri shutichiy,notacion porcentual,neutro
1376,patsakrikrapampa,cuadra,neutro
1377,patsaktatkipampa,hectarea,neutro
1378,patsakwata,siglo,positivo
1379,pawana,volar,positivo
1380,pawkar,marzo,positivo
1381,pawkar,marzo,positivo
1382,pawkar killa,marzo,positivo
1383,pay,ella,positivo
1384,paya,vieja,positivo
1385,paya mama,anciana,positivo
1386,paya ruka,dedo pulgar,neutro
1387,payku,payco,neutro
1388,paykuna,ellas,positivo
1389,payllashka,pagado,neutro
1390,payllay,pagar,neutro
1391,paypachik,pertenencia,neutro
1392,paypaknay,pertencer,neutro
1393,peña,haka,neutro
1394,phacha,sabana,neutro
1395,phallkala,sien,neutro
1396,phanka,hoja,neutro
1397,phankalla,liviano,neutro
1398,phatsayana,separar,negativo
1399,phawachik anku,nervio,neutro
1400,phintu,manta  trapo,neutro
1401,phintu ushuta,medias,neutro
1402,pichay,limpia,neutro
1403,pichay  chuyay  mayllay,limpieza  aseo,neutro
1404,pichka,cinco  5,neutro
1405,pichka chunka,cincuenta  50,neutro
1406,pichka patsak,quinientos  500,neutro
1407,piki,pulga,neutro
1408,pillis,piojo del cuerpo,negativo
1409,pillpintu,mariposa,neutro
1410,pimill,alga acuatica,neutro
1411,pinkay,verguenza,negativo
1412,pinkullu,tobillo,neutro
1413,pinllu,lechero,neutro
1414,piruri,rol,neutro
1415,piruru,disco,neutro
1416,pirway,diagramacion,neutro
1417,pirwayay,maqueta,neutro
1418,kutama,piramide natural,neutro
1419,pishiyak pakiyupay,fraccion propia,neutro
1420,pishiyashka,menor que,neutro
1421,pishku,pajaro  ave,neutro
1422,pishku  patpayuk,ave,neutro
1423,piti,poco,neutro
1424,pitikuska,segmento,neutro
1425,pitina  kuchuna,cortar,neutro
1426,pituy,deseo amoroso,positivo
1427,pityuk  chuskulli pukcha,arroba,neutro
1428,piñakuy,enfadado,negativo
1429,piñana,enfadarse,negativo
1430,piñashka,enojado,negativo
1431,patpasapa,plumaje,neutro
1432,chapak,policia,neutro
1433,puchu,diferencia,neutro
1434,puchu tupati,cabo de vela,neutro
1435,puchuy,extraño,negativo
1436,puka,rojo,neutro
1437,puka sara,maiz rojo,neutro
1438,pukara,lugares sagrados centros ceremoniales,negativo
1439,pukcha,quintal,neutro
1440,pukchiku,onza,neutro
1441,pukllana,jugar,positivo
1442,pukllay,deporte,positivo
1443,pukpu,litro  botella,neutro
1444,pukshay akllay kamachik,tribunal electoral,positivo
1445,puku,plato,neutro
1446,pukuk,soplador,neutro
1447,pukukuk,productivo,positivo
1448,pukukun,fecundo  fertil,positivo
1449,pukuna,cerbatana,neutro
1450,pukushka,encantado,positivo
1451,pukuy,produccion,positivo
1452,pukuyay,madurez,positivo
1453,pukyu,vertiente,neutro
1454,pullkanka,escudo,neutro
1455,pullkankayuk,escudero,neutro
1456,puma,puma,neutro
1457,puma-maki,pumamaqui,neutro
1458,punasuyu,region sierra,neutro
1459,puncha,dia,neutro
1460,punchaklla,claro,positivo
1461,punchankamu,libro diario,positivo
1462,punchanta kawsay,vida cotidiana,neutro
1463,punchayakun,alba,neutro
1464,puntu,vasija,neutro
1465,pupu,ombligo,neutro
1466,puray,relacion,positivo
1467,purichihallmay,segunda desyerbe,neutro
1468,purik,caminante,neutro
1469,purikacha,paseo,neutro
1470,purina,caminar,neutro
1471,purun,llanura abandonada,neutro
1472,purun wiwa,animal silvestre,positivo
1473,purutu,frejol,neutro
1474,pusak,ocho  8,neutro
1475,pusak chunka,ochenta  80,neutro
1476,pusak patsak,ochocientos  800,neutro
1477,pusakkamay,direccion,neutro
1478,pushak,lider,positivo
1479,pushakakllay,tribunal,positivo
1480,pusku  hatki,Acido,neutro
1481,pusku  putuku,espuma,neutro
1482,putiha,unidad fundamental de la fanega,neutro
1483,putika,botija 12 5 lib,neutro
1484,putitupu,medida de volumen,neutro
1485,putu,galon,neutro
1486,putuk,trapecio,neutro
1487,putukuk,trapezoide,neutro
1488,puyuy,evaporacion,neutro
1489,puzun,estomago,neutro
1490,puñuna,dormir,positivo
1491,puñuyllak,insomnio,negativo
1492,raka,vagina,neutro
1493,rakacha,zanahoria,neutro
1494,rakacha,zanahoria,neutro
